0 4 75 12 82 47 62 21 49 28 52
1 4 163 87 79 4 22 52 23 91 64
2 4 186 93 27 52 92 90 11 32 65
3 4 146 69 26 32 70 19 60 89 30
4 4 133 93 35 44 65 36 71 17 74
5 4 177 49 72 95 52 94 85 16 87
6 4 73 11 19 30 100 14 16 50 39
7 4 184 47 71 57 7 60 39 99 46
8 4 105 34 64 81 4 32 55 4 3
9 4 84 1 55 49 86 22 35 48 93
10 4 84 16 48 22 29 63 71 19 62
11 4 191 41 76 68 52 66 18 98 99
12 4 99 33 30 2 16 36 57 71 37
13 4 116 63 19 22 85 5 69 77 72
14 4 129 68 50 1 83 72 19 44 64
15 4 108 46 63 16 63 32 65 61 65
16 4 149 94 14 32 30 70 2 18 85
17 4 137 20 39 69 76 59 97 48 79
18 4 149 98 100 13 69 70 8 32 16
19 4 125 70 47 30 53 11 91 69 57
20 4 110 56 1 38 78 2 55 62 74
21 4 143 45 82 49 3 78 48 33 75
22 4 194 47 45 95 17 52 26 84 73
23 4 104 25 13 78 87 3 46 43 59
24 4 168 46 80 88 100 34 49 73 30
25 4 154 30 73 33 59 73 17 85 19
26 4 100 14 79 35 65 4 18 90 80
27 4 179 83 67 67 85 12 61 95 10
28 4 134 93 82 9 78 82 33 8 11
29 4 163 57 92 69 29 8 53 100 21
30 4 100 83 34 38 87 4 79 18 86
31 4 163 45 84 22 8 97 69 69 89
32 4 122 2 29 66 84 13 73 94 22
33 4 90 64 15 2 24 19 1 44 2
34 4 146 35 81 40 38 59 57 75 55
35 4 174 93 96 15 89 64 35 77 66
36 4 126 64 94 1 76 67 46 49 82
37 4 140 60 51 5 31 51 49 84 85
38 4 198 81 23 74 92 31 100 98 23
39 4 200 96 64 63 11 99 91 28 14
40 4 198 85 28 41 51 74 90 84 85
41 4 119 40 89 15 90 89 98 27 21
42 4 149 72 52 12 3 52 62 77 47
43 4 176 25 92 57 75 82 85 88 66
44 4 120 64 29 68 37 18 52 22 9
45 4 202 92 88 98 80 38 76 61 28
46 4 201 64 15 79 77 92 77 53 83
47 4 184 85 28 16 21 67 82 95 1
48 4 161 73 64 52 46 72 43 34 22
49 4 240 74 23 97 26 83 76 89 98
