0 10 733 75 2 140 66 48 99 199 12 264 41 73 83 259 89 71 68 206 91 131 90
1 10 817 190 51 57 12 216 18 36 71 262 80 179 88 181 18 53 80 169 3 292 32
2 10 782 43 16 114 53 4 36 72 9 226 55 251 67 257 7 79 72 276 66 242 89
3 10 654 45 73 76 77 190 80 257 58 235 100 189 77 115 54 82 19 41 5 79 66
4 10 754 159 29 133 15 87 63 286 62 128 80 102 25 152 29 201 93 109 9 151 43
5 10 734 208 91 71 23 197 4 193 37 109 71 203 19 52 87 134 38 49 71 252 76
6 10 802 202 53 152 5 282 53 198 42 13 48 236 73 190 58 47 86 262 39 23 70
7 10 580 261 77 88 64 63 73 202 63 196 5 90 97 9 42 42 46 151 83 58 50
8 10 781 170 30 139 28 128 77 241 66 299 62 79 27 201 42 89 74 95 51 121 51
9 10 552 40 17 60 33 170 1 78 72 36 36 21 5 217 60 184 97 136 24 162 86
10 10 749 237 92 212 38 186 52 63 32 2 83 83 93 151 42 126 73 294 3 144 29
11 10 688 90 65 286 59 76 21 155 63 97 68 148 33 112 11 170 97 162 84 80 15
12 10 599 166 62 7 69 55 84 141 49 139 84 129 80 200 14 38 75 35 44 289 31
13 10 726 64 36 215 75 298 85 223 59 120 2 73 86 216 32 106 70 67 46 70 5
14 10 793 281 99 185 81 64 74 207 50 270 96 32 33 83 47 81 83 181 91 202 82
15 10 650 116 39 97 47 44 19 65 41 188 70 22 38 206 54 202 31 160 51 200 7
16 10 708 135 32 190 81 22 15 70 12 116 4 127 7 152 25 150 22 243 10 211 64
17 10 772 99 16 269 100 46 80 103 46 287 37 229 28 69 71 1 83 292 12 150 95
18 10 725 191 56 199 15 158 20 256 100 181 66 115 80 281 35 31 79 14 33 24 52
19 10 578 121 4 31 89 174 31 223 66 95 73 212 85 80 62 51 37 82 7 88 14
20 10 704 172 54 45 53 88 76 283 54 260 6 257 33 61 88 21 35 70 96 152 64
21 10 775 68 15 200 99 277 51 188 10 9 75 123 80 281 20 84 20 47 66 273 58
22 10 1076 123 30 190 84 269 63 170 38 258 73 254 77 187 53 275 63 155 62 272 63
23 10 865 189 47 95 69 118 78 288 64 296 13 221 18 294 63 53 62 125 74 51 82
24 10 908 46 4 158 33 209 84 147 15 171 78 286 69 124 6 186 1 193 1 296 57
25 10 565 73 66 250 35 218 63 59 44 14 40 289 69 49 73 29 33 120 44 30 42
26 10 1017 173 15 110 96 220 47 296 64 147 44 219 61 174 6 230 37 264 73 202 56
27 10 842 162 22 204 86 51 88 57 94 217 98 118 83 259 13 254 5 160 70 203 3
28 10 506 42 74 215 15 79 45 103 42 17 4 249 30 26 53 116 28 92 24 73 61
29 10 648 22 90 95 32 2 49 37 61 270 91 116 11 164 30 277 94 226 80 88 95
30 10 858 135 36 276 12 188 43 39 32 67 11 92 88 300 86 119 1 286 7 214 55
31 10 771 198 29 17 13 110 94 107 36 125 94 82 59 229 57 223 69 200 61 252 66
32 10 975 124 43 105 23 280 75 176 66 234 89 220 83 169 89 295 78 282 53 65 58
33 10 907 98 46 168 27 255 90 247 54 103 50 119 26 292 75 48 71 249 75 236 82
34 10 618 115 8 64 83 196 11 13 29 263 29 138 61 27 5 139 81 147 37 134 49
35 10 807 86 4 174 29 278 73 99 78 87 60 114 46 275 49 241 85 161 21 100 41
36 10 524 58 60 67 14 50 99 260 86 284 8 23 87 133 51 16 6 1 94 157 39
37 10 419 205 70 184 79 118 76 16 30 96 15 123 5 26 41 19 75 40 78 12 23
38 10 756 238 34 62 70 236 29 227 88 122 83 127 26 53 10 257 22 186 72 4 33
39 10 674 86 26 290 11 66 8 237 57 285 48 180 74 33 93 44 20 121 70 7 95
40 10 682 53 33 72 57 195 28 130 80 51 33 164 88 258 53 50 76 160 86 232 97
41 10 829 285 63 170 69 155 65 88 28 235 47 22 39 279 93 247 73 173 28 4 75
42 10 756 261 20 163 70 72 12 45 84 250 29 232 34 191 53 55 98 118 42 125 4
43 10 616 288 98 194 19 42 92 191 14 19 47 241 31 166 3 1 89 66 97 24 67
44 10 618 125 55 1 16 160 55 113 29 248 89 184 88 186 77 6 27 20 48 193 90
45 10 837 194 33 121 11 235 21 100 52 269 23 119 94 130 71 161 41 277 25 69 76
46 10 867 13 52 263 50 80 68 176 99 216 68 188 61 252 60 24 38 232 75 290 1
47 10 1067 297 60 294 78 30 6 218 58 230 86 33 94 289 96 243 68 263 18 238 58
48 10 555 143 89 217 66 127 49 40 68 49 88 27 94 18 8 299 87 165 28 25 97
49 10 854 221 13 192 15 81 7 32 50 188 21 207 82 210 76 299 88 24 38 255 24
